No,Coin Name,Symbol,Initial Price ($),Total Supply,Supply Category
1,CoreSource,COR,0.0007718,24215160656,high
2,IonSwap,ION,0.00112,59843836586,very_high
3,Spark Protocol,SPR,0.05901,97485521,scarce
4,Omni Vault,OVA,9.5,61924815,scarce
5,Gold Base,GBA,9.548e-06,518246710799,very_high
6,Moon Hub,MHU,8.254e-09,955162928513430,meme
7,ZetaTrust,ZET,0.01092,52185828,scarce
8,BitSpace,BIT,0.04866,272632310,moderate
9,Inter Stage,IST,0.001788,1227202065,medium
10,DataSphere,DAT,3.797e-06,663731402386665,meme
11,Omni Token,OTO,20.19,1354605746,medium
12,SilverChain,SIL,0.9623,14838545,ultra_scarce
13,Red Sphere,RSP,113.37,16855284,ultra_scarce
14,Jet Connect,JCO,1.45,4043868301,high
15,BoltSpace,BOL,4.49,2600558,ultra_scarce
16,BlueVerse,BLU,0.009133,334765404,moderate
17,Rapid Vault,RVA,0.4978,2884193,ultra_scarce
18,SafeSign,SAF,0.0128,372353132,moderate
19,Free Silver,FSI,7.294e-08,71278163829911,meme
20,Bit Chain,BCH,0.1217,10424482,ultra_scarce
21,EchoStage,ECH,4.81,8490077,ultra_scarce
22,HashScope,HAS,12.62,28907433,scarce
23,Vortex Signal,VSI,0.002525,1504343232,medium
24,AeroBlock,AER,0.06841,6313395,ultra_scarce
25,GridPay,GRI,0.1333,4568564,ultra_scarce
26,MoonStar,MOO,39.41,82654193,scarce
27,OmniDao,OMN,7.19,711407157,medium
28,Cyber Scale,CSC,2.923e-07,721388850593369,meme
29,Swift Coin,SCO,7.162e-07,324000995556646,meme
30,InterHub,INT,1.337e-05,488216293913,very_high
31,Neon Sphere,NSP,0.3843,8069091020,high
32,Alpha Source,ASO,6.701e-05,48230073052,high
33,DogeProtocol,DOG,0.000143,85570480394712,meme
34,Lite Coin,LCO,0.0005291,291351908,moderate
35,TerraFi,TER,54.8,6761946,ultra_scarce
36,Terra Block,TBL,2.242e-07,861606071533,very_high
37,Doge Source,DSO,0.0109,13882858,ultra_scarce
38,SparkVerse,SPA,1.393e-09,276439874807646,meme
39,Rapid Block,RBL,2.09,68660762,scarce
40,GammaTrust,GAM,1.02,15863386,ultra_scarce
